date,product_id,opening_stock,quantity_purchased,quantity_sold,closing_stock,stockout_flag
2022-01-01,P001,53,0,0,53,0
2022-01-01,P002,54,0,0,54,0
2022-01-01,P003,89,0,0,89,0
2022-01-01,P004,56,0,2,54,0
2022-01-01,P005,61,0,0,61,0
2022-01-01,P006,120,0,2,118,0
2022-01-01,P007,189,0,3,186,0
2022-01-01,P008,112,0,2,110,0
2022-01-01,P009,23,0,0,23,0
2022-01-01,P010,20,0,0,20,0
2022-01-01,P011,95,0,0,95,0
2022-01-01,P012,7,0,0,7,0
2022-01-01,P013,29,0,0,29,0
2022-01-01,P014,33,0,0,33,0
2022-01-01,P015,44,0,0,44,0
2022-01-01,P016,76,0,0,76,0
2022-01-01,P017,22,0,0,22,0
2022-01-01,P018,34,0,0,34,0
2022-01-01,P019,50,0,0,50,0
2022-01-01,P020,38,0,1,37,0
2022-01-01,P021,8,0,1,7,0
2022-01-01,P022,25,0,0,25,0
2022-01-01,P023,13,0,0,13,0
2022-01-01,P024,79,0,0,79,0
2022-01-01,P025,79,0,0,79,0
2022-01-01,P026,57,0,0,57,0
2022-01-01,P027,22,0,0,22,0
2022-01-01,P028,8,0,0,8,0
2022-01-01,P029,63,0,0,63,0
2022-01-01,P030,69,0,0,69,0
2022-01-01,P031,42,0,1,41,0
2022-01-01,P032,15,0,0,15,0
2022-01-01,P033,11,0,0,11,0
2022-01-01,P034,28,0,0,28,0
2022-01-01,P035,121,0,0,121,0
2022-01-01,P036,28,0,0,28,0
2022-01-01,P037,34,0,1,33,0
2022-01-01,P038,148,0,3,145,0
2022-01-01,P039,102,0,1,101,0
2022-01-01,P040,11,0,0,11,0
2022-01-01,P041,28,0,1,27,0
2022-01-01,P042,29,0,1,28,0
2022-01-01,P043,47,0,1,46,0
2022-01-01,P044,51,0,0,51,0
2022-01-01,P045,6,0,0,6,0
2022-01-01,P046,17,0,1,16,0
2022-01-01,P047,25,0,1,24,0
2022-01-01,P048,27,0,0,27,0
2022-01-01,P049,6,0,1,5,0
2022-01-01,P050,4,8,0,12,0
2022-01-01,P051,32,0,0,32,0
2022-01-01,P052,11,0,0,11,0
2022-01-01,P053,118,0,0,118,0
2022-01-01,P054,30,0,0,30,0
2022-01-01,P055,4,0,0,4,0
2022-01-01,P056,85,0,3,82,0
2022-01-01,P057,235,0,1,234,0
2022-01-01,P058,58,0,0,58,0
2022-01-01,P059,71,0,0,71,0
2022-01-01,P060,138,0,2,136,0
2022-01-01,P061,149,0,3,146,0
2022-01-01,P062,88,0,0,88,0
2022-01-01,P063,113,0,3,110,0
2022-01-01,P064,110,0,0,110,0
2022-01-01,P065,20,60,0,80,0
2022-01-01,P066,33,0,1,32,0
2022-01-01,P067,29,0,0,29,0
2022-01-01,P068,152,0,3,149,0
